seller_id,total_orders,avg_delivery,late_rate,avg_review,avg_price,high_late_rate,low_review_score,slow_delivery,is_flagged
001cca7ae9ae17fb1caed9dfb1094831,234,12.435897435897436,0.05555555555555555,3.9786324786324787,104.64542735042734,0,0,0,0
002100f778ceb8431b7a1020ff7ab48f,54,15.777777777777779,0.16666666666666666,4.037037037037037,22.532962962962962,0,0,0,0
004c9cd9d87a3c30c522c48c4fc07416,168,13.827380952380953,0.07738095238095238,4.148809523809524,116.48648809523809,0,0,0,0
00720abe85ba0859807595bbf045a33b,26,8.153846153846153,0.07692307692307693,3.6538461538461537,38.75,0,0,0,0
00ee68308b45bc5e2660cd833c3f81cc,172,8.563953488372093,0.08139534883720931,4.3313953488372094,117.79069767441861,0,0,0,0
00fc707aaaad2d31347cf883cd2dfe10,135,15.348148148148148,0.044444444444444446,3.8,93.96222222222222,0,0,0,0
013900e863eace745d3ec7614cab5b1a,26,11.038461538461538,0.0,4.730769230769231,62.29615384615385,0,0,0,0
014c0679dd340a0e338872e7ec85666a,15,18.533333333333335,0.13333333333333333,3.6666666666666665,441.8,0,0,0,0
014d9a685fd57276679edd00e07089e5,12,8.5,0.0,3.8333333333333335,60.82333333333333,0,0,0,0
0176f73cc1195f367f7b32db1e5b3aa8,38,12.947368421052632,0.10526315789473684,4.052631578947368,122.18947368421053,0,0,0,0
01bcc9d254a0143f0ce9791b960b2a47,10,12.4,0.0,4.4,139.321,0,0,0,0
01c97ebb5cdac52891c0ed1c37ba0012,12,12.333333333333334,0.0,4.083333333333333,48.125,0,0,0,0
01cf7e3d21494c41fb86034f2e714fa1,65,11.03076923076923,0.046153846153846156,4.2,145.224,0,0,0,0
01fd077212124329bac32490e8ef80d9,39,7.666666666666667,0.02564102564102564,4.3076923076923075,30.974358974358974,0,0,0,0
01fdefa7697d26ad920e9e0346d4bd1b,130,10.276923076923078,0.06153846153846154,4.376923076923077,113.8656153846154,0,0,0,0
0241d4d5d36f10f80c644447315af0bd,246,10.390243902439025,0.056910569105691054,4.313008130081301,127.6329268292683,0,0,0,0
0249d282d911d23cb8b869ab49c99f53,11,9.818181818181818,0.18181818181818182,4.2727272727272725,35.72727272727273,0,0,0,0
02c988090b766852e088c69d7fb3b551,16,8.0625,0.0,4.6875,97.92625,0,0,0,0
02d35243ea2e497335cd0f076b45675d,16,25.125,0.375,2.6875,299.0,1,1,1,1
