month,order_count,avg_price,total_revenue,rolling_mean,rolling_std,upper_threshold,lower_threshold,is_spike,is_drop
2016-09-01,3,44.99,143.46,3.0,0.0,3.0,3.0,0,0
2016-10-01,313,126.63329073482429,46490.66,158.0,219.20310216782974,596.4062043356595,-280.4062043356595,0,0
2016-12-01,1,10.9,19.62,105.66666666666667,179.55871834398164,464.78410335462996,-253.4507700212966,0,0
2017-01-01,913,115.4831982475356,127482.37,409.0,463.5169899798712,1336.0339799597423,-518.0339799597424,0,0
2017-02-01,1858,114.84426264800862,271239.32,924.0,928.5488678577989,2781.097735715598,-933.0977357155978,0,0
2017-03-01,2897,115.41588885053504,414330.95,1889.3333333333333,992.3710663523667,3874.0754660380667,-95.40879937140016,0,0
2017-04-01,2569,122.21819384974698,390812.4,2441.3333333333335,531.1349483260666,3503.603229985467,1379.0634366812003,0,0
2017-05-01,4004,115.99470279720279,566851.4,3156.6666666666665,751.9151104568476,4660.4968875803615,1652.8364457529713,0,0
2017-06-01,3489,113.13813126970479,490050.37,3354.0,726.9628601242295,4807.925720248459,1900.074279751541,0,0
2017-07-01,4416,106.87207201086957,566299.08,3969.6666666666665,464.45272454075814,4898.572115748183,3040.76121758515,0,0
2017-08-01,4797,112.77512820512821,645832.36,4234.0,672.7250552789008,5579.450110557802,2888.5498894421985,0,0
2017-09-01,4737,122.0165547815073,701077.49,4650.0,204.85848774214847,5059.716975484297,4240.283024515703,0,0
2017-10-01,5214,118.19523014959725,751117.01,4916.0,259.81339457387486,5435.62678914775,4396.37321085225,0,0
2017-11-01,8475,112.38222418879056,1153364.2,6142.0,2034.4652860149765,10210.930572029953,2073.069427970047,0,0
2017-12-01,6187,113.55842088249555,843078.29,6625.333333333333,1674.1064283173077,9973.546189967949,3277.1204766987175,0,0
2018-01-01,8037,111.94747915889013,1077887.46,7566.333333333333,1214.4469248729372,9995.227183079207,5137.439483587459,0,0
2018-02-01,7518,107.4706836924714,966168.41,7247.333333333333,954.2380904854581,9155.809514304248,5338.857152362417,0,0
2018-03-01,8017,115.17362105525758,1120598.24,7857.333333333333,294.04138030782946,8445.416093948992,7269.250572717674,0,0
2018-04-01,7827,118.05462629359909,1132878.93,7787.333333333333,251.85379356550018,8291.040920464333,7283.625746202332,0,0
2018-05-01,7810,118.3951562099872,1128774.52,7884.666666666667,114.91881192099775,8114.504290508662,7654.829042824672,0,0
2018-06-01,7010,116.5424964336662,1011978.29,7549.0,466.8650768691104,8482.73015373822,6615.269846261779,0,0
2018-07-01,6963,117.95574895878214,1027807.28,7261.0,476.0283604996664,8213.056720999333,6308.943279000667,0,0
2018-08-01,7142,111.47278213385606,985491.64,7038.333333333333,92.80265800791325,7223.938649349159,6852.728017317507,0,0
